X,Y
798,110
799,115
800,109
801,108
802,111
803,110
804,109
805,114
806,107
807,107
808,107
809,117
810,113
811,105
812,102
813,109
814,107
815,101
816,111
817,102
818,98
819,106
820,98
821,101
822,109
823,99
824,103
825,101
826,97
827,90
828,100
829,98
830,91
831,92
832,97
833,93
834,95
835,88
836,94
837,92
838,86
839,90
840,80
841,82
842,87
843,84
844,86
845,79
846,74
847,76
848,82
849,81
850,75
851,75
852,74
853,72
854,70
855,66
856,62
857,65
858,62
859,64
860,65
861,61
862,63
863,59
864,59
865,54
866,52
867,53
868,53
869,52
870,48
871,47
872,45
873,46
874,46
875,45
876,46
877,46
878,42
879,45
880,43
881,37
882,44
883,38
884,41
885,46
886,40
887,43
888,38
889,44
890,44
891,44
892,46
893,40
894,48
895,44
896,48
897,50
898,43
899,42
900,40
901,43
902,45
903,43
904,44
905,43
906,47
907,48
908,46
909,39
910,41
911,52
912,47
913,47
914,43
915,44
916,44
917,48
918,48
919,44
920,46
921,50
922,45
923,49
924,43
925,50
926,43
927,46
928,44
929,46
930,47
931,42
932,49
933,45
934,48
935,49
936,54
937,49
938,47
939,53
940,48
941,51
942,51
943,57
944,51
945,53
946,53
947,60
948,59
949,63
950,53
951,57
952,63
953,58
954,63
955,65
956,66
957,64
958,66
959,63
960,69
961,67
962,77
963,77
964,77
965,78
966,82
967,84
968,85
969,79
970,83
971,86
972,84
973,83
974,88
975,88
976,90
977,92
978,97
979,95
980,87
981,97
982,97
983,94
984,92
985,100
986,103
987,95
988,98
989,103
990,101
991,103
992,98
993,101
994,107
995,112
996,111
997,116
998,113
999,115
1000,111
1001,110
1002,113
1003,116
1004,111
1005,102
1006,106
1007,108
1008,102
1009,106
1010,113
1011,109
1012,114
1013,106
1014,115
1015,107
1016,110
1017,114
1018,117
1019,121
1020,116
1021,104
1022,120
1023,112
1024,112
1025,107
1026,111
1027,109
1028,109
1029,107
1030,116
1031,115
1032,108
1033,107
1034,113
1035,120
1036,109
1037,119
1038,111
1039,112
1040,115
1041,114
1042,108
1043,112
1044,113
1045,112
1046,115
1047,110
1048,118
1049,110
1050,111
1051,109
